title,stem,tokens,tokens_clean,merged
"gempa m 5,2 terjadi lagi di sulteng pasca peringatan tsunami",gempa m 5 2 jadi lagi di sulteng pasca ingat tsunami,"['gempa', 'm', '5', '2', 'jadi', 'lagi', 'di', 'sulteng', 'pasca', 'ingat', 'tsunami']","['gempa', 'm', '5', '2', 'sulteng', 'pasca', 'tsunami']",gempa m 5 2 sulteng pasca tsunami
"gempa bermagnitudo 6,9 di banggai kepulauan berpotensi tsunami, warga berlarian ke gunung",gempa magnitudo 6 9 di bangga pulau potensi tsunami warga lari ke gunung,"['gempa', 'magnitudo', '6', '9', 'di', 'bangga', 'pulau', 'potensi', 'tsunami', 'warga', 'lari', 'ke', 'gunung']","['gempa', 'magnitudo', '6', '9', 'bangga', 'pulau', 'potensi', 'tsunami', 'warga', 'lari', 'gunung']",gempa magnitudo 6 9 bangga pulau potensi tsunami warga lari gunung
"guncangan gempa m 6,9 di banggai sulteng terasa kuat di palu",guncang gempa m 6 9 di bangga sulteng asa kuat di palu,"['guncang', 'gempa', 'm', '6', '9', 'di', 'bangga', 'sulteng', 'asa', 'kuat', 'di', 'palu']","['guncang', 'gempa', 'm', '6', '9', 'bangga', 'sulteng', 'asa', 'kuat', 'palu']",guncang gempa m 6 9 bangga sulteng asa kuat palu
"75 kali gempa susulan guncang banggai, sulawesi tengah   kumparan.com",75 kali gempa susul guncang bangga sulawesi tengah kumpar com,"['75', 'kali', 'gempa', 'susul', 'guncang', 'bangga', 'sulawesi', 'tengah', 'kumpar', 'com']","['75', 'kali', 'gempa', 'susul', 'guncang', 'bangga', 'sulawesi', 'kumpar', 'com']",75 kali gempa susul guncang bangga sulawesi kumpar com
"usai banggai kepulauan, giliran banggai laut diguncang gempa 4,7 m",usai bangga pulau gilir bangga laut guncang gempa 4 7 m,"['usai', 'bangga', 'pulau', 'gilir', 'bangga', 'laut', 'guncang', 'gempa', '4', '7', 'm']","['bangga', 'pulau', 'gilir', 'bangga', 'laut', 'guncang', 'gempa', '4', '7', 'm']",bangga pulau gilir bangga laut guncang gempa 4 7 m
bmkg: gempa teluk tolo banggai dipicu sesar aktif,bmkg gempa teluk tolo bangga picu sesar aktif,"['bmkg', 'gempa', 'teluk', 'tolo', 'bangga', 'picu', 'sesar', 'aktif']","['bmkg', 'gempa', 'teluk', 'tolo', 'bangga', 'picu', 'sesar', 'aktif']",bmkg gempa teluk tolo bangga picu sesar aktif
"gempa 6,1 sr guncang taiwan, hentikan layanan kereta api bawah tanah",gempa 6 1 sr guncang taiwan henti layan kereta api bawah tanah,"['gempa', '6', '1', 'sr', 'guncang', 'taiwan', 'henti', 'layan', 'kereta', 'api', 'bawah', 'tanah']","['gempa', '6', '1', 'sr', 'guncang', 'taiwan', 'henti', 'layan', 'kereta', 'api', 'tanah']",gempa 6 1 sr guncang taiwan henti layan kereta api tanah
relokasi korban gempa palu akan gunakan tanah terlantar,relokasi korban gempa palu akan guna tanah lantar,"['relokasi', 'korban', 'gempa', 'palu', 'akan', 'guna', 'tanah', 'lantar']","['relokasi', 'korban', 'gempa', 'palu', 'tanah', 'lantar']",relokasi korban gempa palu tanah lantar
"gempa bumi 4,5 sr landa morowali senin malam",gempa bumi 4 5 sr landa morowali senin malam,"['gempa', 'bumi', '4', '5', 'sr', 'landa', 'morowali', 'senin', 'malam']","['gempa', 'bumi', '4', '5', 'sr', 'landa', 'morowali', 'senin', 'malam']",gempa bumi 4 5 sr landa morowali senin malam
5 penyebab gunung meletus secara umum dan perlu kamu ketahui,5 sebab gunung letus cara umum dan perlu kamu tahu,"['5', 'sebab', 'gunung', 'letus', 'cara', 'umum', 'dan', 'perlu', 'kamu', 'tahu']","['5', 'gunung', 'letus']",5 gunung letus
