published date,title,stem,tokens,tokens_clean,merged
2018-01-21 08:00:00+00:00,"heboh kecelakaan moge vs mobil, sopir mobil dipukul",heboh celaka moge vs mobil sopir mobil pukul,"['heboh', 'celaka', 'moge', 'vs', 'mobil', 'sopir', 'mobil', 'pukul']","['heboh', 'celaka', 'moge', 'vs', 'mobil', 'sopir', 'mobil']",heboh celaka moge vs mobil sopir mobil
2018-01-22 08:00:00+00:00,biker moge yang tabrakan dengan suv di pakubuwono anggota tni,biker moge yang tabrak dengan suv di pakubuwono anggota tni,"['biker', 'moge', 'yang', 'tabrak', 'dengan', 'suv', 'di', 'pakubuwono', 'anggota', 'tni']","['biker', 'moge', 'tabrak', 'suv', 'pakubuwono', 'anggota', 'tni']",biker moge tabrak suv pakubuwono anggota tni
2018-01-22 08:00:00+00:00,misteri mengapa ada yang mendadak jadi jenius setelah kecelakaan,misteri mengapa ada yang dadak jadi jenius telah celaka,"['misteri', 'mengapa', 'ada', 'yang', 'dadak', 'jadi', 'jenius', 'telah', 'celaka']","['misteri', 'dadak', 'jenius', 'celaka']",misteri dadak jenius celaka
2018-01-22 08:00:00+00:00,jalur hutan denpasar-gilimanuk dipasangi spanduk peringatan kecelakaan,jalur hutan denpasar-gilimanuk pasang spanduk ingat celaka,"['jalur', 'hutan', 'denpasar-gilimanuk', 'pasang', 'spanduk', 'ingat', 'celaka']","['jalur', 'hutan', 'denpasar-gilimanuk', 'pasang', 'spanduk', 'celaka']",jalur hutan denpasar-gilimanuk pasang spanduk celaka
2018-01-22 08:00:00+00:00,penjelasan pt wika beton soal kecelakaan proyek lrt di pulo gadung,jelas pt wika beton soal celaka proyek lrt di pulo gadung,"['jelas', 'pt', 'wika', 'beton', 'soal', 'celaka', 'proyek', 'lrt', 'di', 'pulo', 'gadung']","['pt', 'wika', 'beton', 'celaka', 'proyek', 'lrt', 'pulo', 'gadung']",pt wika beton celaka proyek lrt pulo gadung
2018-01-23 08:00:00+00:00,korban kecelakaan kerja di pltu tuban makin membaik,korban celaka kerja di pltu tuban makin baik,"['korban', 'celaka', 'kerja', 'di', 'pltu', 'tuban', 'makin', 'baik']","['korban', 'celaka', 'kerja', 'pltu', 'tuban']",korban celaka kerja pltu tuban
2018-01-23 08:00:00+00:00,11 kasus kecelakaan kerja terjadi dalam 6 bulan halaman all,11 kasus celaka kerja jadi dalam 6 bulan halaman all,"['11', 'kasus', 'celaka', 'kerja', 'jadi', 'dalam', '6', 'bulan', 'halaman', 'all']","['11', 'celaka', 'kerja', '6', 'halaman', 'all']",11 celaka kerja 6 halaman all
2018-01-23 08:00:00+00:00,"orang tua kehilangan 3 anaknya dalam kecelakaan mobil, 6 bulan kemudian tuhan seakan kirim gantinya",orang tua hilang 3 anak dalam celaka mobil 6 bulan kemudian tuhan akan kirim ganti,"['orang', 'tua', 'hilang', '3', 'anak', 'dalam', 'celaka', 'mobil', '6', 'bulan', 'kemudian', 'tuhan', 'akan', 'kirim', 'ganti']","['orang', 'tua', 'hilang', '3', 'anak', 'celaka', 'mobil', '6', 'tuhan', 'kirim', 'ganti']",orang tua hilang 3 anak celaka mobil 6 tuhan kirim ganti
2018-01-23 08:00:00+00:00,"ada 10 kecelakaan konstruksi 6 bulan terakhir, korban jiwa 4 orang",ada 10 celaka konstruksi 6 bulan akhir korban jiwa 4 orang,"['ada', '10', 'celaka', 'konstruksi', '6', 'bulan', 'akhir', 'korban', 'jiwa', '4', 'orang']","['10', 'celaka', 'konstruksi', '6', 'korban', 'jiwa', '4', 'orang']",10 celaka konstruksi 6 korban jiwa 4 orang
2018-01-23 08:00:00+00:00,tiga pengendara motor tewas dalam kecelakaan di singkawang,tiga kendara motor tewas dalam celaka di singkawang,"['tiga', 'kendara', 'motor', 'tewas', 'dalam', 'celaka', 'di', 'singkawang']","['kendara', 'motor', 'tewas', 'celaka', 'singkawang']",kendara motor tewas celaka singkawang
