published date,title,stem,tokens,tokens_clean,merged
2022-08-14 07:00:00+00:00,"banjir bandang kembali terjang desa torue parigi moutong, warga mengungsi",banjir bandang kembali terjang desa torue parigi moutong warga ungsi,"['banjir', 'bandang', 'kembali', 'terjang', 'desa', 'torue', 'parigi', 'moutong', 'warga', 'ungsi']","['banjir', 'bandang', 'terjang', 'desa', 'torue', 'parigi', 'moutong', 'warga', 'ungsi']",banjir bandang terjang desa torue parigi moutong warga ungsi
2022-08-14 07:00:00+00:00,penampakan bencana banjir di sudan,tampak bencana banjir di sudan,"['tampak', 'bencana', 'banjir', 'di', 'sudan']","['bencana', 'banjir', 'sudan']",bencana banjir sudan
2022-08-15 07:00:00+00:00,sejumlah sawah warga terendam banjir bandang di nagari garabak data,jumlah sawah warga rendam banjir bandang di nagari garabak data,"['jumlah', 'sawah', 'warga', 'rendam', 'banjir', 'bandang', 'di', 'nagari', 'garabak', 'data']","['sawah', 'warga', 'rendam', 'banjir', 'bandang', 'nagari', 'garabak', 'data']",sawah warga rendam banjir bandang nagari garabak data
2022-08-16 07:00:00+00:00,sentra nipotowe respon cepat dampak banjir bandang di parigi,sentra nipotowe respon cepat dampak banjir bandang di parigi,"['sentra', 'nipotowe', 'respon', 'cepat', 'dampak', 'banjir', 'bandang', 'di', 'parigi']","['sentra', 'nipotowe', 'respon', 'cepat', 'dampak', 'banjir', 'bandang', 'parigi']",sentra nipotowe respon cepat dampak banjir bandang parigi
2022-08-16 07:00:00+00:00,tiga perumahan di cibinong bogor terendam banjir | republika online,tiga rumah di cibinong bogor rendam banjir republika online,"['tiga', 'rumah', 'di', 'cibinong', 'bogor', 'rendam', 'banjir', 'republika', 'online']","['rumah', 'cibinong', 'bogor', 'rendam', 'banjir', 'republika', 'online']",rumah cibinong bogor rendam banjir republika online
2022-08-16 07:00:00+00:00,60 rumah di perumahan kawasan cibinong masih terendam banjir,60 rumah di rumah kawasan cibinong masih rendam banjir,"['60', 'rumah', 'di', 'rumah', 'kawasan', 'cibinong', 'masih', 'rendam', 'banjir']","['60', 'rumah', 'rumah', 'kawasan', 'cibinong', 'rendam', 'banjir']",60 rumah rumah kawasan cibinong rendam banjir
2022-08-18 07:00:00+00:00,"berita | gerak cepat kecamatan medan selayang membantu masyarakat yang terjebak banjir, warga : terimakasih ...",berita gerak cepat camat medan layang bantu masyarakat yang jebak banjir warga terimakasih,"['berita', 'gerak', 'cepat', 'camat', 'medan', 'layang', 'bantu', 'masyarakat', 'yang', 'jebak', 'banjir', 'warga', 'terimakasih']","['berita', 'gerak', 'cepat', 'camat', 'medan', 'layang', 'bantu', 'masyarakat', 'jebak', 'banjir', 'warga', 'terimakasih']",berita gerak cepat camat medan layang bantu masyarakat jebak banjir warga terimakasih
2022-08-18 07:00:00+00:00,hujan menyebabkan banjir di beberapa bagian kota medan,hujan sebab banjir di beberapa bagi kota medan,"['hujan', 'sebab', 'banjir', 'di', 'beberapa', 'bagi', 'kota', 'medan']","['hujan', 'banjir', 'kota', 'medan']",hujan banjir kota medan
2022-08-18 07:00:00+00:00,"bobby nasution sebut penyebab banjir medan: hujan deras, sungai meluap",bobby nasution sebut sebab banjir medan hujan deras sungai luap,"['bobby', 'nasution', 'sebut', 'sebab', 'banjir', 'medan', 'hujan', 'deras', 'sungai', 'luap']","['bobby', 'nasution', 'banjir', 'medan', 'hujan', 'deras', 'sungai', 'luap']",bobby nasution banjir medan hujan deras sungai luap
2022-08-18 07:00:00+00:00,"daftar titik banjir di kota medan akibat hujan semalaman, banyak warga mengungsi",daftar titik banjir di kota medan akibat hujan malam banyak warga ungsi,"['daftar', 'titik', 'banjir', 'di', 'kota', 'medan', 'akibat', 'hujan', 'malam', 'banyak', 'warga', 'ungsi']","['daftar', 'titik', 'banjir', 'kota', 'medan', 'akibat', 'hujan', 'malam', 'warga', 'ungsi']",daftar titik banjir kota medan akibat hujan malam warga ungsi
